,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
1629,rejection,rɪˈdʒekʃn,rejections,,,,,['n. （对提议、建议或请求的）拒绝接受；（对求职者、求学等者的）拒绝；拒聘函，拒绝录取函；嫌弃，厌弃；（对移植器官的）排斥；被抛弃的东西']
1630,rejoicing,rɪˈdʒɔɪsɪŋ,rejoicings,,,,,"['n. 喜庆，欢庆（=rejoicings）', 'v. 非常高兴，深感欣喜；享有（用于吸引人注意奇特之处，尤指名字）（rejoice in）；<古>使感到高兴，使喜悦（rejoice 的现在分词形式）']"
1631,reluctance,rɪˈlʌktəns,,,,,,['n. 不情愿，勉强；（物理）磁阻']
1632,remedial,rɪˈmiːdiəl,,,,,,['adj. 改进的，补救的；治疗的，帮助康复的；补习的，辅导的']
1633,remembrance,rɪˈmembrəns,,,,,,['n. 纪念，怀念；记忆，回忆；纪念品，纪念物；记忆力']
1634,reminiscence,ˌremɪˈnɪsns,reminiscences,,,,,['n. 回忆往事的谈话，回忆录；追忆，怀旧；引起联想的相似事物']
1635,reminiscent,ˌremɪˈnɪs(ə)nt,,,,,,['adj. 使人联想的；怀旧的，缅怀往事的；与……相像的']
1636,renaissance,rɪˈneɪs(ə)ns,,,,,,['n. 复兴，再生；文艺复兴（时期）（the Renaissance）；文艺复兴文化，文艺复兴风格（Renaissance）']
1637,renewable,rɪˈnjuːəb(ə)l,renewables,,,,,"['adj. （合同、协议等）可延期的，可续期的；（能源）可更新的，可再生的', 'n. 再生性能源，可再生资源']"
1638,renewal,rɪˈnjuːəl,renewals,,,,,['n. 恢复，重新开始；（有效期的）延长，续订；更新，改建；（有神授超凡能力基督徒的）精神重生']
1639,renovation,ˌrenəˈveɪʃn,renovations,,,,,['n. 翻新，整修']
1640,renowned,rɪˈnaʊnd,,,,,,"['adj. 有名望的，著名的', 'v. 使有声誉（renown 的过去式和过去分词形式）']"
1641,rental,ˈrentl,rentals,,,,,"['n. 租费，租金；出租，租赁；<美>租用物（尤指房屋或车辆）', 'adj. （与）租借（有关）的，可供租用的']"
1642,repayment,rɪˈpeɪmənt,repayments,,,,,['n. 付还，偿还；（分期）偿还额，付还款项']
1643,repetitive,rɪˈpetətɪv,,,,,,['adj. 重复乏味的；多次重复的']
1644,representation,ˌreprɪzenˈteɪʃn,,,,,,['n. 代理人，代表；描绘，表现；表示，象征；表现物（尤指画或模型）；<正式>抗议，陈述；（感知理论用语）表象']
1645,repress,rɪˈpres,,represses,repressing,repressed,repressed,['v. 压抑（痛苦的情感、回忆等）；抑制，克制（行为）；（尤指用武力）镇压，压制；实施镇压；使（基因）转录受阻遏']
1646,repressive,rɪˈpresɪv,,,,,,['adj. 镇压的，压制的；压抑的，抑制的']
1647,reproduction,ˌriːprəˈdʌkʃn,reproductions,,,,,['n. 生殖，繁殖；复印，再版；（声音的）复制，录制；复制品，仿制品']
1648,reproductive,ˌriːprəˈdʌktɪv,,,,,,['adj. 生殖的，繁殖的；翻印的，复制的']
1649,republic,rɪˈpʌblɪk,republics,,,,,['n. 共和国，共和政体']
1650,reputable,ˈrepjətəbl,,,,,,['adj. 声誉好的，值得信赖的']
1651,researcher,rɪˈsɜːtʃə(r); ˈriːsɜːtʃə(r),researchers,,,,,['n.  研究人员']
1652,reserved,rɪˈzɜːvd,,,,,,"['adj. 寡言少语的，内敛的；保留的，预订的', 'v. 预订，预约；保留，贮备；拥有（某种权利等）（reserve 的过去式和过去分词形式）']"
1653,residential,ˌrezɪˈdenʃ(ə)l,,,,,,['adj. 住宅区的，居民区的 ；家庭的，住宅的；（为工作、学习或受人照料而）住宿（在某地）的']
1654,respectable,rɪˈspektəbl,,,,,,"['adj. 值得尊敬的，体面的；相当好的，不错的；有一定价值的，相当重要的', 'n.  可敬的人']"
1655,respectful,rɪˈspektfl,,,,,,['adj. 表示敬意的，尊敬的']
1656,respectively,rɪˈspektɪvli,,,,,,['adv. 分别地，依次地']
1657,restoration,ˌrestəˈreɪʃn,,,,,,['n. （对艺术品、建筑等的）修复；（做法、权利、惯例或情况的）恢复，重新实施；归还，返还；（软件程序的）恢复，还原；（牙科）修补；（模拟已灭绝动物或被毁建筑等原型的）修复物（或图），重建物（或图）；（君主、元首、政权等的）原有地位的恢复，复位；王政复辟时期（1660 年英王查理二世复辟及其后的一段时期）（the Restoration）；法国波旁王朝王政复辟（the Restoration）']
1658,restriction,rɪˈstrɪkʃ(ə)n,restrictions,,,,,['n. 限制规定，限制法规；（受）限制（状态），（受）约束（状态）；制约因素']
1659,restrictive,rɪˈstrɪktɪv,,,,,,['adj. 限制（性）的，约束（性）的；（语法）  限定性的']
1660,resumption,rɪˈzʌmpʃn,,,,,,['n. <正式>重新开始，恢复；<法律>（土地、权利等的）重获']
1661,retailer,ˈriːteɪlə(r),retailers,,,,,['n. 零售商，零售店；讲述者']
1662,retarded,rɪˈtɑːdɪd,,,,,,"['adj. <旧>智力迟钝的，弱智的；<非正式>十分愚蠢的', 'v. 减缓，阻碍（retard 的过去式及过去分词形式）']"
1663,retell,ˌriːˈtel,,retells,retelling,retold,retold,['v. （以不同的方式）复述，重新讲述']
1664,retelling,ˌriːˈtelɪŋ,,,,,,"['n. 复述；复述法', 'v. 复述；再讲（retell 的 ing 形式）']"
1665,retired,rɪˈtaɪəd,,,,,,"['adj. 退休的，退役的；（生活方式）隐居的，退隐的；（人）沉默寡言的，不好交际的；<古>（地方）僻静的，隐蔽的', 'v. 退休，退役；（因伤）退赛；撤退（retire 的过去式和过去分词形式）']"
1666,retirement,rɪˈtaɪəmənt,retirements,,,,,['n. 退休，退职；退休生活，退休期间；（运动员）停止参赛，退役；（陪审团）退庭表决；退庭表决时间；引退，退隐；<古>退隐处，隐蔽处']
1667,retrieval,rɪˈtriːv(ə)l,,,,,,['n. 找回，取回；（计算机系统信息的）检索；恢复，挽回']
1668,retrospective,ˌretrəˈspektɪv,retrospectives,,,,,"['adj.  回顾的，回想的；有追溯效力的，溯及既往的', 'n. （艺术家作品）回顾展']"
1669,reunification,ˌriːˌjuːnɪfɪˈkeɪʃn,,,,,,['n. 重新统一']
1670,reunion,ˌriːˈjuːniən,reunions,,,,,['n. （有组织的）聚会，团聚；重逢，团圆；再联合，重新统一']
1671,reunite,ˌriːjuˈnaɪt,,reunites,reuniting,reunited,reunited,['v. （使）团聚，（使）重聚；（使）再结合，（使）重新团结']
1672,revengeful,rɪˈvendʒf(ə)l,,,,,,['adj. 渴望复仇的，一心报复的']
1673,reversal,rɪˈvɜːs(ə)l,reversals,,,,,['n. 反转，颠倒；（运气）逆转；挫折，失败；（角色的）交换，互换；<法律>（对下级法院或权力机构裁决、宣判或法令的）撤销，废弃；（摄）反转']
1674,reversible,rɪˈvɜːsəb(ə)l,,,,,,['adj. 可逆的，可恢复原状的，可医治的；可翻转 ，可两面穿的，正反两用的']
1675,reviewer,rɪˈvjuːə(r),reviewers,,,,,['n. 评论者，评论家']
1676,revision,rɪˈvɪʒn,revisions,,,,,['n. 修改，修订；修订本，订正版；复习，温习']
1677,revival,rɪˈvaɪv(ə)l,revivals,,,,,['n. 复兴，复苏；再流行；（旧剧的）重新上演；（复兴基督教信仰的）奋兴布道会；（体力或活力的）重振']
1678,rhetorical,rɪˈtɒrɪk(ə)l,,,,,,['adj. （与）修辞（有关）的；反问的，反诘的；巧辩的，说话虚夸的']
1679,rigidity,rɪˈdʒɪdəti,rigidities,,,,,['n. 硬度，刚性；严格，刻板；僵化']
1680,rigour,ˈrɪɡə(r),,,,,,['n. 谨慎，严谨；严格，严厉；艰苦，严酷（rigours)']
1681,risky,ˈrɪski,,,,,,['adj. 有危险的，有风险的；有伤风化的，近乎淫秽的']
1682,river,ˈrɪvə(r),rivers,,,,,"['n. 河，江', 'n. （River）人名；（英）里弗']"
1683,road,rəʊd,roads,,,,,"['n. 路，公路，马路，街； 途径，方法，路子；（矿）地下巷道；<史>贸易路线；<美>铁路；<英>（列车可通行的）无障碍铁路路轨，特殊情况铁路路轨；近岸锚地，港外锚地', '【名】 （Road）（英）罗德（人名）']"
1684,robbery,ˈrɒbəri,robberies,,,,,['n. 盗窃，抢劫']
1685,robotic,rəʊˈbɒtɪk,,,,,,['adj. 机器人的，机械的；像机器人的，机械呆板的；机器人舞的']
1686,rocky,ˈrɒki,,,,,,['adj. 岩石构成的，多岩石的；坚如岩石的；晃动的，不稳的；身体摇摇晃晃的，头晕目眩的；（局势、关系）不稳固的，困难重重的；与摇滚乐有关的']
1687,roller,ˈrəʊlə(r),rollers,,,,,"['n. 滚筒，轧辊；卷发筒，发卷；（用于移动无轮重物的）滚棒，滚柱；碾轧机，压路机；卷浪，巨浪；涂料辊；绷带卷（=roller bandage）；（卷帘、地图等的）卷轴；滚地球；<英，非正式>劳斯莱斯汽车；佛法僧（一种飞行时打滚的鸟）；翻头鸽；金丝雀，白玉鸟', 'adj. （与）四轮溜冰鞋（有关）的', '【名】 （Roller）（英、德、俄、匈、罗、捷、瑞典）罗勒，（法）罗莱（人名）']"
1688,rose,rəʊz,roses,roses,rosing,rosed,rosed,"['n. 玫瑰，蔷薇；玫瑰形物，玫瑰花饰，玫瑰花形纹章（尤指英国国徽）；玫瑰色，玫瑰红；红润的肤色；安乐的境地，有利的环境，轻易成功；（水管或洒水壶的）莲蓬式喷嘴；玫瑰红葡萄酒；罗经花，向位圈，方位刻度图（compass rose的简称）', 'v. <文>使成玫瑰色，使变红', 'v. （数字、数量、价值）增加，（质量）提高；升起，达到较高水平（或位置）；（尤指从坐姿）起身，站起（rise的过去式）']"
1689,rotation,rəʊˈteɪʃn,rotations,,,,,['n. 旋转，转动；旋转一周（一圈）；轮流，交替；轮班，换班；<美>值轮班的人；<美>（尤指实习医生的）轮流实习；轮作，轮耕；（林业）轮伐期；（数学）坐标轴的旋转；（数学）旋度，旋量（=curl）']
1690,roughly,ˈrʌfli,,,,,,['adv. 粗略地，大约；粗暴地，粗鲁地；粗糙地，不精细地']
1691,ruinous,ˈruːɪnəs,,,,,,['adj. 破坏性的，毁灭性的；导致破产的，耗资巨大的；<正式>破败不堪的，损毁严重的']
1692,ruling,ˈruːlɪŋ,rulings,,,,,"['n. （尤指法庭的）裁决，裁定；统治，支配', 'adj. 统治的，支配的；（热情或感情）占支配地位的，最强烈的 ；流行的，普遍的', 'v. 统治，支配；控制，操纵；裁定，判决（rule 的现在分词形式）']"
1693,rumour,ˈruːmə(r),rumours,rumours,rumouring,rumoured,rumoured,"['n. 谣言，传闻', 'v. 谣传，传说（be rumoured）']"
1694,runner,ˈrʌnə(r),runners,,,,,"['n. 跑步者，赛跑的人；赛跑的动物（如马）；<加拿大>跑鞋，运动鞋；性能良好的车（或机器）；（公司或组织中的）跑腿的人，外勤人员；（部队的）传令兵，通讯员；<英，非正式>个体古董商；<英，非正式>（工作或职位的）争夺者，竞争者；<英，非正式>可能被接受的想法，切实可行的建议；（棒球中的）跑垒者；（在三柱门之间为受伤的击球手跑动的）跑动板球员；毒品（或武器）走私者； （金属、塑料或木制的）条状滑行装置；（移动重物的）滚杠；滑圈；（航海）滑车吊索；长条饰布，长条地毯；长匐茎，纤匐枝；有长匐茎的植物；蔓生植物，攀缘植物；（热带海洋的）青鲹；回转磨石，上磨盘（=runner stone）', '【名】  （Runner）（英）朗纳（人名）']"
1695,running,ˈrʌnɪŋ,,,,,,"['n. 跑步，赛跑；管理，运作；走私，私运（毒品、枪支等）', 'adj. 运转着的；（水）流动的，（从水管和水龙头）流出的；（疮或身体部位）流出液体的，流脓的；连续的，反复不断的；现场的，实况的；在跑动中完成的，助跑的；持球跑动进攻的', 'adv. 连续地', 'v. 跑；运转；行驶（run的现在分词形式）', '【名】 （Running）（英）朗宁（人名）']"
1696,runway,ˈrʌnweɪ,runways,,,,,['n. （机场的）跑道；<美>（时装模特表演时走的）伸展台，T型台；（尤指小体哺乳动物在草地或雪地下等挖的）过道，通道；（运原木的）滑道，滑运斜面']
1697,rusty,ˈrʌsti,,,,,,['adj. 生锈的，锈迹斑斑的；铁锈色的，赭色的；（技术、知识等）荒废的，生疏的；（人）不熟练的']
1698,résumé,,,,,,,
1699,sacrificial,ˌsækrɪˈfɪʃl,,,,,,['adj. 牺牲的，献祭的']
1700,sadness,ˈsædnəs,,,,,,['n. 悲伤，悲痛；使人悲伤的事（或难过）的事']
1701,sailing,ˈseɪlɪŋ,sailings,,,,,"['n. 帆船运动，乘帆船航行；水运航班；起航；航海术', 'adj. 航行的', 'v. （乘船）航行；启航；驾驶（船只）（sail 的现在分词形式）']"
1702,salon,,,,,,,
1703,salty,ˈsɔːlti,,,,,,['adj. 咸的，含盐的；<旧>有趣而略显粗俗的；<非正式>粗鲁的，爱闹事的']
1704,sanctuary,ˈsæŋktʃuəri,sanctuaries,,,,,['n. 避难权，庇护；避难所，庇护所；动物保护区，禁猎区；（某种受伤或遭遗弃动物的）收养所；宗教圣所，圣殿；（教堂内的）圣坛']
1705,sanitation,ˌsænɪˈteɪʃn,,,,,,['n. 公共卫生，环境卫生；下水道设施，卫生设备']
1706,sarcasm,ˈsɑːkæzəm,,,,,,['n. 讽刺，挖苦']
1707,satirical,səˈtɪrɪkl,,,,,,['adj. 讽刺的，讥讽的；爱挖苦人的']
1708,satirist,ˈsætərɪst,satirists,,,,,['n. 讽刺作家，惯于讽刺的人']
1709,saturation,ˌsætʃəˈreɪʃn,saturations,,,,,['n. 饱和，饱和状态；（化学溶液的）饱和状态，饱和度；（尤指照相的）色饱和度；磁化饱和；浸透，湿透']
1710,saturday,ˈsætədeɪ,,,,,,['n. 星期六']
1711,save,seɪv,saves,saves,saving,saved,saved,"['v. 救助，搭救；避免，减少；积攒，储蓄；节省（钱、时间或其他资源）；保存，保留；收集；（为某人）保留；（计算机）保存（数据）；使健康长寿，护佑；（足球等）救球，防止对方进球；（棒球）（替补投手） 保持（其他投手取得的领先地位）；（基督教）拯救（某人），使摆脱罪孽', 'n. （足球等守门员的）救球；（棒球）（替补投手） 保持（其他投手取得的领先地位）；（计算机）存储数据', 'prep. <正式> 除……之外', '【名】 （Save）（法）萨夫，（意、保、西、罗、塞、瑞典）萨薇 （女名），萨韦（人名）']"
1712,saying,ˈseɪɪŋ,sayings,,,,,"['n. 谚语，格言，警句；（尤指宗教或政治领袖的）重要讲话，教诲', 'v. 说，讲；念，朗诵；提供信息，指示（say 的现在分词形式）']"
1713,scandalous,ˈskændələs,,,,,,['adj. 令人愤慨的，可耻的；丑闻的']
1714,scanner,ˈskænə(r),scanners,,,,,['n. 扫描器，扫描设备；（信息或图像）扫描仪；（医用）扫描器；信号扫掠天线；（声呐或雷达）扫描器']
1715,scary,ˈskeəri,,,,,,['adj. 骇人的，恐怖的；<非正式>异乎寻常的，令人惊奇的；胆小的，易受惊吓的']
1716,scenic,ˈsiːnɪk,,,,,,['adj. 风景优美的；观光的；舞台布景的；（画）描绘事件的']
1717,sceptic,ˈskeptɪk,,,,,,['n. 持怀疑态度的人，怀疑论者；无神论者']
1718,scepticism,ˈskeptɪsɪzəm,,,,,,['n. 怀疑态度，怀疑主义']
1719,scholarly,ˈskɒləli,,,,,,['adj. 学术的，学术性的；博学的，勤奋好学的']
1720,scholastic,skəˈlæstɪk,,,,,,"['adj. （成就或能力）学业的，学术的；<美>（与）中学（有关）的；（有关）中世纪经院哲学的；学究气的，烦琐的', 'n. <史> 经院哲学家，学究；（罗马天主教，尤指耶稣会的）待授神职者；（尤指神学院的）学生，学者']"
1721,schooling,ˈskuːlɪŋ,,,,,,"['n. 学校教育；学费；（马术）训练马在平地比赛（或跨越障碍）', 'v. 教育，培养；训练，使学会（school 的现在分词形式）', '【名】 （Schooling）（英）斯库林（人名）']"
1722,scornful,ˈskɔːnf(ə)l,,,,,,['adj. 轻蔑的，鄙视的']
1723,scrutinise,ˈskruːtɪnaɪz,,scrutinises,scrutinising,scrutinised,scrutinised,"['vi. 作仔细检查；细致观察', 'vt. 细看；仔细观察或检查；核对（等于 scrutinize）']"
1724,seasonal,ˈsiːzən(ə)l,,,,,,['adj. 季节性的，随季节变化的；节令性的，适应节日需要的']
1725,second-hand,ˌsekənd ˈhænd,,,,,,"['adj. 旧的，二手的', 'adv. 间接地，第二手地']"
1726,secrecy,ˈsiːkrəsi,secrecies,,,,,['n. 秘密，保密']
1727,secretarial,ˌsekrəˈteəriəl,,,,,,['adj. 秘书的，有关秘书工作的']
1728,seduce,sɪˈdjuːs,,seduces,seducing,seduced,seduced,['v. 诱奸，勾引；引诱，吸引']
1729,seduction,sɪˈdʌkʃn,seductions,,,,,['n. 诱奸，勾引；诱惑力，吸引力']
1730,seductive,sɪˈdʌktɪv,,,,,,['adj. 有魅力的，性感的；有吸引力的，令人神往的']
1731,seeming,ˈsiːmɪŋ,,,,,,"['adj. <正式>表面上的，貌似的，似是而非的', 'n. <文>（尤指被认为有欺骗性或不同于现实时的）外表，表象']"
1732,segmental,seɡˈmentl,,,,,,['adj. 由部分组成的；音段的；（建筑）弓形的']
1733,segregation,ˌseɡrɪˈɡeɪʃn,,,,,,['n. （对不同种族、宗教或性别的人所采取的）隔离并区别对待，隔离政策；隔离，分隔；（等位基因的）分离']
1734,seizure,ˈsiːʒə(r),seizures,,,,,['n. 夺取，控制；扣押，没收；（疾病的）突然发作']
1735,selective,sɪˈlektɪv,,,,,,['adj. 认真挑选的，严格筛选的；选择性的，有选择的；（记忆）只记一部分的']
1736,selfless,ˈselfləs,,,,,,['adj. 无私的，忘我的']
1737,semi-colon,ˌsemi ˈkəʊlən,,,,,,['分号']
1738,seniority,ˌsiːniˈɒrəti,seniorities,,,,,['n. 年长，职位高；资历，年资']
1739,sensational,senˈseɪʃən(ə)l,,,,,,['adj. 轰动的，激动人心的；夸张的，耸人听闻的；<非正式>非常好的，吸引人的']
1740,sensor,ˈsensə(r),,,,,,['n. （探测光、热、压力等的）传感器，敏感元件，探测设备']
1741,sentimental,ˌsentɪˈmentl,,,,,,['adj. 情感的（而非理性的）；多愁善感的，柔情的；（故事、电影、书等）感伤的，故作伤感的']
1742,separation,ˌsepəˈreɪʃn,separations,,,,,['n. 分开，分隔；分离，离别；（夫妇的）分居；离析；分色（colour separation 的简称）']
1743,separatist,ˈseprətɪst,separatists,,,,,"['n. 分裂主义者，独立主义者', 'adj. 分裂主义的，独立主义的']"
1744,september,sepˈtembə(r),,,,,,['n. 九月']
1745,sergeant,ˈsɑːdʒənt,sergeants,,,,,"['n. （陆军、海军陆战队或空军的）中士；（英国的）巡佐，（美国的）警佐', '【名】 （Sergeant）（英）萨金特，（法）塞尔让（人名）']"
1746,serving,ˈsɜːvɪŋ,servings,,,,,"['n. （食物或饮料的）一人份', 'adj. 上菜用的，分菜肴用的；目前任职的，（尤指）现役的', 'v. 为……服务；供应，上（饮料、食物）；服役，供职于（serve 的现在分词形式）', '【名】 （Serving）（美、瑞）塞尔温（人名）']"
1747,seventeen,ˌsev(ə)nˈtiːn,seventeens,,,,,"['n. 十七，十七个', 'adj. 十七岁的；十七的，十七个的', 'num. 十七', 'n. （Seventeen）人名；（瑞典）塞文滕']"
1748,seventy,ˈsev(ə)nti,seventies,,,,,"['n. 七十；七十个；七十岁；七十年代', 'adj. 七十的；七十个的；七十岁的', 'num. 七十']"
1749,severity,sɪˈverəti,severities,,,,,['n. 严重，严重性；严肃，严厉（的态度）；严厉（的程度）；简朴，朴素，普通']
1750,sexual,ˈsekʃuəl,,,,,,['adj. 性的，性行为的；性别的；性取向的；生殖的，有性繁殖的；（繁殖）配子融合的']
1751,sexy,ˈseksi,,,,,,['adj. 性感的，引起性欲的；性兴奋的，性冲动的；<非正式>让人兴奋的，吸引人的']
1752,shaky,ˈʃeɪki,,,,,,['adj. 颤抖的，颤巍巍的；不牢靠的，摇晃的，不确切的； 不大出色的，成问题的']
1753,shameful,ˈʃeɪmfl,,,,,,['adj. 丢脸的，可耻的']
1754,shameless,ˈʃeɪmləs,,,,,,['adj. 无耻的，不要脸的']
1755,sharpen,ˈʃɑːpən,,sharpens,sharpening,sharpened,sharpened,['v. （使）变锋利（尖锐，清晰）；（使）改善，提高；（使）加剧']
1756,shaver,ˈʃeɪvə(r),shavers,,,,,"['n. 电动剃须刀，剃毛器；理发师；<非正式>小伙子；<旧>骗子', '【名】 （Shaver）（英）谢弗（人名）']"
1757,shiny,ˈʃaɪni,,,,,,['adj. 光滑发亮的，有光泽的']
1758,shipping,ˈʃɪpɪŋ,,,,,,"['n. （总称）船舶；航运，运输；运费', 'v. 运输，运送；上市；舷侧进水（ship 的现在分词形式）', '【名】 （Shipping）（英）希平（人名）']"
1759,shipyard,ˈʃɪpjɑːd,shipyards,,,,,['n. 造（修）船厂，船坞；造船业，修船业']
1760,shit,ʃɪt,shits,shits,shitting,shitted或shat或shit,shitted或shat或shit,"['n. 屎，粪；拉屎，排便；（生病或害怕时的）腹泻，拉肚子 （the shits）；无用之物，劣质品；坏蛋，讨厌鬼；不愉快的经历（或待遇）；个人财产，东西；胡说八道，屁话； 胡来，捣乱；毒品（尤指大麻）', 'v. 拉屎，排便；拉屎弄脏衣服；极其担忧（害怕）；欺骗，诈骗（某人）；恶劣对待', 'adj. 糟透的，讨厌透顶的', 'int. 狗屁，呸（表示气愤、恐惧或失望）']"
1761,shopping,ˈʃɒpɪŋ,,,,,,"['n. 购物；<英>从商店采买的东西', 'v. 购物；逛商店；<英>（向警察等）告发（shop 的现在分词）']"
1762,shorts,ʃɔːts,,,,,,"['n. 短裤', 'n. （Shorts）（英）肖茨（人名）']"
1763,showcase,ˈʃəʊkeɪs,showcases,showcases,showcasing,showcased,showcased,"['n. 展示（本领、优点等）的场合；（商店、博物馆等的）玻璃陈列柜', 'v. 展示，展现']"
1764,shrimp,ʃrɪmp,shrimps或shrimp,shrimps,shrimping,shrimped,shrimped,"['n. 虾，小虾；<非正式> 矮子，无足轻重的人', 'v. 捕虾', 'adj. 与虾有关的；有虾的，虾制的']"
1765,shrubbery,ˈʃrʌbəri,shrubberies,,,,,['n. 灌木；[林] 灌木林']
1766,shyly,ˈʃaɪli,,,,,,['adv. 害羞地；羞怯地；胆怯地；小心地']
1767,shyness,ˈʃaɪnəs,,,,,,['n. 羞怯']
1768,sicken,ˈsɪkən,,sickens,sickening,sickened,sickened,['v. 使大为震惊，使愤怒；使厌恶，使作呕；（使）患病，生病']
1769,silky,ˈsɪlki,,,,,,"['adj. 丝制的，丝绸的；丝绸一样的，柔软光洁的；（声音）柔和的，轻柔的；（食物）口感软滑的；（行动）平稳的，流畅的', 'adv. 光洁地，光滑地']"
1770,silvery,ˈsɪlvəri,,,,,,['adj. 银色的，似银的；（声音）清脆的，银铃般悦耳的']
1771,similarity,ˌsɪməˈlærəti,similarities,,,,,['n. 相似性；相似点，类似的地方']
1772,simulation,ˌsɪmjuˈleɪʃ(ə)n,,,,,,['n. 模拟，仿造物；假装，冒充']
1773,sincerity,sɪnˈserəti,,,,,,['n. 真诚，真挚']
1774,singer,ˈsɪŋə(r),singers,,,,,"['n. 歌手，歌唱家', 'n. （Singer）（美）桑热（人名）']"
1775,sir,sɜː(r),sirs,,,,,"['n. 先生，长官（尤指对上级的尊称）；老师（学生对男教师的称呼）；先生，阁下（正式或商业信函开头的称呼）（Dear Sir）；爵士（用于爵士或准男爵名字之前）（Sir）；<美，非正式>决不，的确（no/yes sir）（同 siree）', '【名】 （苏丹、德）西尔（人名）']"
1776,sitting,ˈsɪtɪŋ,sittings,,,,,"['n. 坐着（做某事）的一段时间；（一次）供人画像（照相）的时间；一批，一次（就餐时间）；（法庭的）开庭，（议会的）开会；孵卵', 'adj. 坐的，坐着做的；（母鸡，鸟）孵蛋的，伏窝的；现任的，在任期内的；易击中的；（动物）蹲着的，（鸟）停落的', 'v. 坐，坐下；使就座；坐落在，位于（sit 的现在分词形式）', '【名】  (Sitting) （美、加）西特（人名）']"
1777,situate,ˈsɪtʃueɪt,,situates,situating,situated,situated,"['v. 使位于，使坐落于；把.......放在（特殊的环境中），把......跟（具体情境）联系；处于（某特定经济或婚姻）状况（be situated）', 'adj. <古>位于……的，坐落在……的']"
1778,six,sɪks,sixes,,,,,"['num. 数字6；六个；六个人（或物）一组；六岁；六点钟', 'n. （Six）（美、德）西克斯（人名）']"
1779,sixteen,ˌsɪksˈtiːn,sixteens,,,,,"['num. 十六；十六个', 'adj. 十六的；十六个的']"
1780,sixty,ˈsɪksti,sixties,,,,,['num. 六十，六十个；六十几，六十年代；六十岁']
1781,sizable,ˈsaɪzəb(ə)l,,,,,,['adj. 相当大的，颇大的']
1782,size,saɪz,sizes,sizes,sizing,sized,sized,"['n. 大小，尺寸；庞大，巨大；数量，规模；（尤指衣服、鞋子等的）尺寸，尺码；特定尺寸；相应尺码的人（或衣物）；（使纸张、布料坚挺且光亮的）浆料，（贴壁纸用的）涂料', 'v. 依大小分类（或排列）；按一定大小制作；改变......的大小； 给（衣服、纸张等）上浆，给......涂胶；<非正式> 大致评价，估量；估算（或测量某物）大小；可比拟', 'adj. 一定大小（或尺码）的']"
1783,skating,ˈskeɪtɪŋ,,,,,,"['n. 滑冰，溜冰，滑板', 'v. 滑冰，溜冰；在滑板上滑行，溜出（花样）；滑行（skate 的现在分词）']"
1784,skeptic,ˈskeptɪk,,,,,,"['n. （对一切都）持怀疑态度的人；怀疑论者，不可知论者；无神论者', 'adj. 不相信的，持怀疑态度的；怀疑论的，不可知论的']"
1785,skepticism,ˈskeptɪsɪzəm,,,,,,['n. 怀疑态度；怀疑论']
1786,skiing,ˈskiːɪŋ,,,,,,"['n. 滑雪运动，滑水运动', 'v. 滑雪，滑水（ski 的现在分词形式）']"
1787,skilful,ˈskɪlfl,,,,,,['adj. 有技巧的，熟练的；制作精良的，处理巧妙的']
1788,skinny,ˈskɪni,skinnies,,,,,"['adj. 极瘦的，皮包骨的；（衣服）紧身的；<非正式>低脂肪的，加脱脂奶的', 'n. 骨瘦如柴的人，瘦骨嶙峋的人；<美，非正式>内部消息，机密情报（the skinny）；紧身牛仔裤或长裤（skinnies）', '【名】 （Skinny）（俄、美、澳、加、荷）斯金尼（人名）']"
1789,skyline,ˈskaɪlaɪn,skylines,,,,,['n. （建筑物或群山在天空映衬下的）轮廓线']
1790,slash,slæʃ,slashes,slashes,slashing,slashed,slashed,"['v. （用利器）砍，劈；大幅度削减，大大降低；严厉批评，抨击；猛力移动，袭击', 'n. （用刀等）砍，劈；（长而窄的）伤口，砍痕；斜杠，斜线号；<英，非正式> 撒尿，小便；装饰性开叉；（喻）明亮的条纹（或色线）；<美> 残留枝桠；沼泽低地']"
1791,slavery,ˈsleɪvəri,,,,,,['n. 奴隶制，蓄奴；奴隶身份，奴役；过分依赖，过分投入']
1792,sleep,sliːp,sleeps,sleeps,sleeping,slept,slept,"['v. 睡，睡觉；供……住宿；（尤指入夜后某地或建筑物）沉寂，静寂；<文>安息，安眠；发生性关系', 'n. 睡眠，睡觉；（一段）\t睡眠时间；眵，眼屎；<文>死，长眠', '【名】 （Sleep）斯利普（姓氏）']"
1793,sleepiness,ˈsliːpinəs,,,,,,['n. 睡意，瞌睡；想睡']
1794,sleepy,ˈsliːpi,,,,,,['adj. 困倦的，想睡的；（城镇或地区）寂静的，冷清的；（生意，组织，工业）没有活力的，呆滞的']
1795,slightly,ˈslaɪtli,,,,,,['adv. 稍微，轻微地；（指某人身材）纤弱地，瘦小地']
1796,smartphone,ˈsmɑːtfəʊn,,,,,,['n. 智能手机']
1797,smelly,ˈsmeli,,,,,,['adj. 有难闻气味的，发臭的']
1798,smoggy,ˈsmɒɡi,,,,,,['adj.  烟雾弥漫的']
1799,smoky,ˈsməʊki,,,,,,['adj. 烟雾弥漫的；冒出大量烟的；烟灰色的，似烟的；有烟熏味的，熏制般的；（声音或眼睛）迷人的，性感的']
